Strain,Taxa_ID,GH1,GH3,GH5,GH6,GH8,bcsZ,GH9,GH12,GH44,GH45,GH48
Escherichia coli O157:H7 str. FRIK2000,637388,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O157:H7 str. FRIK966,570506,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O157:H7 str. G5101,926026,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli O157:H7 str. LSU-61,926032,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli O157:H7 str. Sakai,386585,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O157:H7 str. TW14359,544404,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O157:H7 str. TW14588,502346,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O26:H11 str. 11368,573235,7,2,0,0,0,1,0,0,0,0,0
Escherichia coli O45:H2 str. 03-EN-705,1078033,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O55:H7 str. 3256-97,926029,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli O55:H7 str. CB9615,701177,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O55:H7 str. USDA 5905,926030,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli O7:K1 str. CE10,1072459,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli O83:H1 str. NRG 857C,685038,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli O91:H21 str. B2F1,1078030,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli OP50,637912,3,3,0,0,0,0,0,0,0,0,0
Escherichia coli P12b,910348,2,2,0,0,0,1,0,0,0,0,0
Escherichia coli PCN033,1001989,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli RN587/1,670899,4,2,0,0,0,0,0,0,0,0,0
Escherichia coli S88,585035,7,2,0,0,0,1,0,0,0,0,0
Escherichia coli SCI-07,1144302,4,2,0,0,0,1,0,0,0,0,0
Escherichia coli SE11,409438,7,2,0,0,0,1,0,0,0,0,0
Escherichia coli SE15,431946,4,2,0,0,0,1,0,0,0,0,0
Escherichia coli SMS-3-5,439855,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_7v,754082,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli STEC_94C,754083,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_B2F1,754084,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_C165-02,754085,2,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_DG131-3,754086,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_EH250,754087,2,2,0,0,0,0,0,0,0,0,0
Escherichia coli STEC_H.1.8,754088,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_MHI813,754089,2,2,0,0,0,1,0,0,0,0,0
Escherichia coli STEC_S1191,754090,2,2,0,0,0,1,0,0,0,0,0
Escherichia coli str. 'clone D i14',885275,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli str. 'clone D i2',885276,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli str. K-12 substr. DH10B,316385,5,2,0,0,0,1,0,0,0,0,0
Escherichia coli str. K-12 substr. MG1655,511145,5,2,0,0,0,1,0,0,0,0,0
Escherichia coli str. K-12 substr. MG1655star,879462,5,2,0,0,0,0,0,0,0,0,0
Escherichia coli str. K-12 substr. W3110,316407,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli TA007,656429,5,2,0,0,0,0,0,0,0,0,0
Escherichia coli TA124,656435,2,2,0,0,0,1,0,0,0,0,0
Escherichia coli TA143,656437,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli TA206,656440,6,2,0,0,0,0,0,0,0,0,0
Escherichia coli TA271,656443,9,2,0,0,0,0,0,0,0,0,0
Escherichia coli TA280,656444,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli TW07793,869693,4,2,0,0,0,1,0,0,0,0,0
Escherichia coli TW10509,656449,3,2,0,0,0,0,0,0,0,0,0
Escherichia coli TW10598,913091,5,2,0,0,0,0,0,0,0,0,0
Escherichia coli TW10722,913090,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli TW10828,913089,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli TW11681,913088,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli TW14425,913087,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli TX1999,670903,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli UM146,869729,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli UMN026,585056,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli UMNF18,1050617,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli UMNK88,696406,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli UTI89,364106,7,2,0,0,0,1,0,0,0,0,0
Escherichia coli W,566546,7,2,0,0,0,0,0,0,0,0,0
Escherichia coli W26,1090926,3,2,0,0,0,1,0,0,0,0,0
Escherichia coli WV_060327,945433,4,2,0,0,0,0,0,0,0,0,0
Escherichia coli XH001,1069495,2,2,0,0,0,1,0,0,0,0,0
Escherichia coli XH140A,1068608,3,2,0,0,0,1,0,0,0,0,0
Escherichia fergusonii ATCC 35469,585054,6,2,0,0,0,1,0,0,0,0,0
Escherichia fergusonii B253,550694,3,2,0,0,0,0,0,0,0,0,0
Escherichia fergusonii ECD227,981367,6,2,0,0,0,0,0,0,0,0,0
Escherichia hermannii NBRC 105704,1115512,2,2,0,0,0,0,0,0,0,0,0
Escherichia sp. 1_1_43,457400,4,0,0,0,0,1,0,0,0,0,0
Escherichia sp. 3_2_53FAA,469598,7,2,0,0,0,1,0,0,0,0,0
Escherichia sp. 4_1_40B,457401,5,2,0,0,0,1,0,0,0,0,0
Escherichia sp. TW09231,754327,2,2,0,0,0,0,0,0,0,0,0
Escherichia sp. TW09276,754330,2,2,0,0,0,0,0,0,0,0,0
Escherichia sp. TW09308,754331,3,2,0,0,0,0,0,0,0,0,0
Escherichia sp. TW10509,754332,2,2,0,0,0,0,0,0,0,0,0
Ferrimonas balearica DSM 9799,550540,0,1,0,0,0,0,0,0,0,0,0
Fluoribacter dumoffii NY 23,1094715,0,1,0,0,0,0,0,0,0,0,0
Fluoribacter dumoffii Tex-KL,1094714,0,1,0,0,0,0,0,0,0,0,0
Francisella cf. novicida 3523,676032,0,0,0,0,0,0,0,0,0,0,0
Francisella cf. novicida Fx1,984129,0,0,0,0,0,0,0,0,0,0,0
Francisella novicida FTE,545422,0,2,1,0,0,0,0,0,0,0,0
Francisella novicida FTG,563990,0,2,1,0,0,0,0,0,0,0,0
Francisella novicida GA99-3548,442346,0,2,1,0,0,0,0,0,0,0,0
Francisella novicida GA99-3549,430558,0,2,1,0,0,0,0,0,0,0,0
Francisella novicida U112,401614,0,4,1,0,0,0,0,0,0,0,0
Francisella philomiragia subsp. philomiragia ATCC 25015,539329,0,1,1,0,0,0,0,0,0,0,0
Francisella philomiragia subsp. philomiragia ATCC 25017,484022,0,1,1,0,0,0,0,0,0,0,0
Francisella sp. TX077308,573569,0,0,2,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica,119857,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica 257,412422,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica FSC022,430556,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica FSC200,351581,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica FTNF002-00,458234,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica OSU18,393011,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. holarctica URFT1,445226,0,0,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. mediasiatica FSC147,441952,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. tularensis FSC033,430557,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. tularensis FSC198,393115,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. tularensis MA00-2987,543737,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. tularensis NE061598,510831,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. tularensis SCHU S4,177416,0,2,1,0,0,0,0,0,0,0,0
Francisella tularensis subsp. tularensis WY96-3418,418136,0,3,1,0,0,0,0,0,0,0,0
Francisella tularensis TI0902,1001534,0,0,1,0,0,0,0,0,0,0,0
Francisella tularensis TIGB03,1001542,0,0,1,0,0,0,0,0,0,0,0
Frateuria aurantia DSM 6220,767434,0,0,0,0,0,0,0,0,0,0,0
Fulvimarina pelagi HTCC2506,314231,0,1,0,0,0,1,0,0,0,0,0
Gallibacterium anatis UMN179,1005058,0,1,0,0,0,0,0,0,0,0,0
Gallionella capsiferriformans ES-2,395494,0,1,0,0,0,2,0,0,0,0,0
gamma proteobacterium HdN1,83406,0,1,0,0,0,0,0,0,0,0,0
gamma proteobacterium HIMB30,751994,0,0,0,0,0,0,0,0,0,0,0
gamma proteobacterium HIMB55,745014,0,2,0,0,0,0,0,0,0,0,0
gamma proteobacterium HTCC2207,314287,0,4,0,0,0,0,0,0,0,0,0
gamma proteobacterium HTCC5015,391615,0,1,0,0,0,0,0,0,0,0,0
gamma proteobacterium IMCC1989,937772,0,1,0,0,0,0,0,0,0,0,0
gamma proteobacterium IMCC2047,434085,0,1,0,0,0,0,0,0,0,0,0
gamma proteobacterium IMCC3088,876044,0,1,0,0,0,0,0,0,0,0,0
gamma proteobacterium NOR5-3,566466,0,2,0,0,0,0,0,0,0,0,0
gamma proteobacterium NOR51-B,565045,0,1,0,0,0,0,0,0,0,0,0
gamma proteobacterium SCGC AAA001-B15,913324,0,0,0,0,0,0,0,0,0,0,0
gamma proteobacterium SCGC AAA007-O20,913327,0,0,0,0,0,0,0,0,0,0,0
Geobacter bemidjiensis Bem,404380,1,0,0,0,0,0,0,0,0,0,0
Geobacter lovleyi SZ,398767,0,2,0,0,0,0,0,0,0,0,0
Geobacter metallireducens GS-15,269799,0,0,0,0,0,0,0,0,0,0,0
Geobacter metallireducens RCH3,691164,0,0,0,0,0,0,0,0,0,0,0
Geobacter sp. FRC-32,316067,0,0,0,0,0,0,0,0,0,0,0
Geobacter sp. M18,443143,0,0,0,0,0,0,0,0,0,0,0
Geobacter sp. M21,443144,1,0,0,0,0,0,0,0,0,0,0
Geobacter sulfurreducens KN400,663917,0,0,0,0,0,0,0,0,0,0,0
Geobacter sulfurreducens PCA,243231,0,0,0,0,0,0,0,0,0,0,0
Geobacter uraniireducens Rf4,351605,0,0,0,0,0,0,0,0,0,0,0
Glaciecola nitratireducens FR1064,1085623,0,3,0,0,0,0,0,0,0,0,0
Glaciecola punicea DSM 14233 = ACAM 611,1121923,0,1,0,0,0,0,0,0,0,0,0
Glaciecola sp. 4H-3-7+YE-5,983545,1,2,0,0,0,0,0,0,0,0,0
Glaciecola sp. HTCC2999,455436,1,3,0,0,0,0,0,0,0,0,0
Gluconacetobacter diazotrophicus PAl 5,272568,0,0,0,0,0,0,0,0,0,0,0
Gluconacetobacter europaeus 5P3,940285,0,2,0,0,0,1,0,0,0,0,0
Gluconacetobacter europaeus LMG 18494,940284,0,2,0,0,0,1,0,0,0,0,0
Gluconacetobacter europaeus LMG 18890,940283,0,0,0,0,0,1,0,0,0,0,0
Gluconacetobacter hansenii ATCC 23769,714995,0,2,0,0,0,1,0,0,0,0,0
Gluconacetobacter oboediens 174Bp2,940286,0,2,0,0,0,1,0,0,0,0,0
Gluconacetobacter sp. SXCC-1,1004836,0,1,0,0,0,1,0,0,0,0,0
Gluconacetobacter xylinus NBRC 3288,634177,0,0,0,0,0,0,0,0,0,0,0
Gluconobacter morbifer G707,1088869,0,0,0,0,0,0,0,0,0,0,0
Gluconobacter oxydans 621H,290633,0,0,0,0,0,0,0,0,0,0,0
Granulibacter bethesdensis CGDNIH1,391165,0,1,0,0,0,0,0,0,0,0,0
Grimontia hollisae CIP 101886,675812,0,1,0,0,0,0,1,0,0,0,0
Haemophilus [parainfluenzae] CCUG 13788,1035839,0,1,0,0,0,0,0,0,0,0,0
Haemophilus aegyptius ATCC 11116,888728,0,1,0,0,0,0,0,0,0,0,0
Haemophilus ducreyi 35000HP,233412,0,1,0,0,0,0,0,0,0,0,0
Haemophilus haemolyticus M19107,1028802,0,2,0,0,0,0,0,0,0,0,0
Haemophilus haemolyticus M19501,1028803,0,1,0,0,0,0,0,0,0,0,0
Haemophilus haemolyticus M21127,1028804,0,1,0,0,0,0,0,0,0,0,0
Haemophilus haemolyticus M21621,1028805,0,1,0,0,0,0,0,0,0,0,0
Haemophilus haemolyticus M21639,1028806,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 10810,862964,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 22.1-21,374927,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 22.4-21,375063,0,3,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 3655,375177,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 6P18H1,521004,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 7P49H1,521005,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae 86-028NP,281310,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae F3031,866630,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae F3047,935897,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae HK1212,456482,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae NT127,656913,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae PittAA,374928,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae PittEE,374930,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae PittGG,374931,0,2,0,0,0,0,0,0,0,0,0
Haemophilus influenzae PittHH,374932,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae PittII,374933,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae R2846,262727,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae R2866,262728,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae R3021,375432,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae Rd KW20,71421,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae RdAW,656912,0,1,0,0,0,0,0,0,0,0,0
Haemophilus parainfluenzae ATCC 33392,888828,0,1,0,0,0,0,0,0,0,0,0
Haemophilus parainfluenzae T3T1,862965,0,1,0,0,0,0,0,0,0,0,0
Haemophilus parasuis 29755,456298,0,1,0,0,0,0,0,0,0,0,0
Haemophilus parasuis SH0165,557723,0,1,0,0,0,0,0,0,0,0,0
Haemophilus pittmaniae HK 85,1035188,0,1,0,0,0,0,0,0,0,0,0
Haemophilus somnus 129PT,205914,0,2,0,0,0,0,0,0,0,0,0
Haemophilus somnus 2336,228400,0,2,0,0,0,0,0,0,0,0,0
Haemophilus sp. oral taxon 851 str. F0397,762965,0,1,0,0,0,0,0,0,0,0,0
Hafnia alvei ATCC 51873,1002364,1,2,0,0,0,1,0,0,0,0,0
Hahella chejuensis KCTC 2396,349521,1,1,2,0,0,0,0,0,0,0,0
Haliangium ochraceum DSM 14365,502025,0,0,0,0,0,0,0,0,0,0,0
Halomonas boliviensis LC1,1072583,0,1,0,0,0,0,0,0,0,0,0
Halomonas elongata DSM 2581,768066,0,4,0,0,0,0,0,0,0,0,0
Halomonas sp. GFAJ-1,1118153,0,1,0,0,0,0,0,0,0,0,0
Halomonas sp. HAL1,550984,0,1,0,0,0,0,0,0,0,0,0
Halomonas sp. KM-1,590061,0,1,0,0,0,0,0,0,0,0,0
Halomonas sp. TD01,999141,0,1,0,0,0,0,0,0,0,0,0
Halorhodospira halophila SL1,349124,0,1,0,0,0,0,0,0,0,0,0
Halothiobacillus neapolitanus c2,555778,0,1,0,0,0,0,0,0,0,0,0
Helicobacter acinonychis str. Sheeba,382638,0,0,0,0,0,0,0,0,0,0,0
Helicobacter bilis ATCC 43879,613026,0,0,0,0,0,0,0,0,0,0,0
Helicobacter bizzozeronii CIII-1,1002804,0,0,0,0,0,0,0,0,0,0,0
Helicobacter cinaedi CCUG 18818,537971,0,0,0,0,0,0,0,0,0,0,0
Helicobacter felis ATCC 49179,936155,0,0,0,0,0,0,0,0,0,0,0
Helicobacter hepaticus ATCC 51449,235279,0,0,0,0,0,0,0,0,0,0,0
Helicobacter mustelae 12198,679897,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pullorum MIT 98-5489,537972,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 2017,985081,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 2018,985080,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 26695,85962,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 35A,585535,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 51,290847,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 52,684950,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 83,585538,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 8A3,981211,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 908,869727,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori 98-10,544405,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori B128,544406,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori B38,592205,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori B45,999629,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori B8,693745,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori BCS100H1,981210,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Cuz20,765964,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori ELS37,1055527,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori F16,866344,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori F30,866345,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori F32,102608,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori F57,866346,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori G27,563041,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Gambia94/24,907240,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori HPAG1,357544,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori India7,907238,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori J99,85963,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Lithuania75,907237,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NAB47,1156914,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NAD1,1156915,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NCTC 11637 = CCUG 17874,102618,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ1671,981220,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ1701,981215,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ1707,981217,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ1712,981213,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ315,981212,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ352,981214,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ367,981219,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ392,981216,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ4060,981218,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori NQ4191,981221,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori P12,570508,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori P79,1111674,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori PeCan4,765963,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Puno120,1055528,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Puno135,1055529,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Sat464,794851,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori Shi470,512562,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori SJM180,765962,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori SNT49,1055530,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori SouthAfrica7,907239,0,0,0,0,0,0,0,0,0,0,0
Helicobacter pylori v225d,637913,0,0,0,0,0,0,0,0,0,0,0
Helicobacter suis HS1,710393,0,0,0,0,0,0,0,0,0,0,0
Helicobacter suis HS5,710394,0,0,0,0,0,0,0,0,0,0,0
Helicobacter winghamensis ATCC BAA-430,556267,0,0,0,0,0,0,0,0,0,0,0
Herbaspirillum lusitanum P6-12,1161913,0,1,0,0,0,0,0,0,0,0,0
Herbaspirillum seropedicae SmR1,757424,0,2,0,0,0,0,0,0,0,0,0
Herminiimonas arsenicoxydans,204773,0,1,0,0,0,0,0,0,0,0,0
Hippea maritima DSM 10411,760142,0,0,0,0,0,0,0,0,0,0,0
Hirschia baltica ATCC 49814,582402,0,11,0,0,0,0,0,0,0,0,0
Hoeflea phototrophica DFL-43,411684,0,1,0,0,0,0,0,0,0,0,0
Hylemonella gracilis ATCC 19624,887062,0,1,0,0,0,1,0,0,0,0,0
Hyphomicrobium denitrificans 1NES1,670307,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobium denitrificans ATCC 51888,582899,0,1,0,0,0,0,0,0,0,0,0
Hyphomicrobium sp. MC1,717785,0,1,0,0,0,0,0,0,0,0,0
Hyphomonas neptunium ATCC 15444,228405,0,3,0,0,0,0,0,0,0,0,0
Idiomarina baltica OS145,314276,1,2,0,0,0,0,0,0,0,0,0
Idiomarina loihiensis L2TR,283942,0,1,0,0,0,0,0,0,0,0,0
Idiomarina sp. A28L,1036674,0,1,0,0,0,0,0,0,0,0,0
Jannaschia sp. CCS1,290400,0,1,0,0,0,0,0,0,0,0,0
Janthinobacterium sp. Marseille,375286,0,1,0,0,0,0,0,0,0,0,0
Janthinobacterium sp. PAMC 25724,1112211,0,0,0,0,0,0,0,0,0,0,0
Kangiella koreensis DSM 16069,523791,0,1,0,0,0,0,0,0,0,0,0
Ketogulonicigenium vulgare Y25,880591,1,11,0,0,0,0,0,0,0,0,0
Ketogulonigenium vulgarum WSH-001,759362,0,4,0,0,0,0,0,0,0,0,0
Kingella denitrificans ATCC 33394,888741,0,1,0,0,0,0,0,0,0,0,0
Kingella kingae ATCC 23330,887327,0,1,0,0,0,0,0,0,0,0,0
Kingella kingae PYKK081,1150867,0,1,0,0,0,0,0,0,0,0,0
Kingella oralis ATCC 51147,629741,0,1,0,0,0,0,0,0,0,0,0
Klebsiella oxytoca 10-5242,883117,7,4,1,0,0,2,0,0,0,0,0
Klebsiella oxytoca 10-5243,883118,7,4,1,0,0,2,0,0,0,0,0
Klebsiella oxytoca 10-5245,883120,7,4,1,0,0,2,0,0,0,0,0
Klebsiella oxytoca 10-5246,883121,7,3,0,0,0,2,0,0,0,0,0
Klebsiella oxytoca 10-5250,883125,7,4,1,0,0,2,0,0,0,0,0
Klebsiella oxytoca 11492-1,1134455,7,4,1,0,0,2,0,0,0,0,0
Klebsiella oxytoca KCTC 1686,1006551,7,4,1,0,0,2,0,0,0,0,0
Klebsiella pneumoniae 1162281,1037908,6,3,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae 1191100241,1074486,7,2,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae 342,507522,15,3,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae JH1,1037890,6,2,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae KCTC 2242,1049565,6,2,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae NTUH-K2044,484021,12,5,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae subsp. pneumoniae HS11286,1125630,7,2,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae subsp. pneumoniae MGH 78578,272620,17,2,0,0,0,2,0,0,0,0,0
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884,667127,14,3,0,0,0,2,0,0,0,0,0
Klebsiella sp. 1_1_55,469608,12,2,0,0,0,2,0,0,0,0,0
Klebsiella sp. 4_1_44FAA,665944,7,2,0,0,0,2,0,0,0,0,0
Klebsiella sp. MS 92-3,749535,8,2,0,0,0,2,0,0,0,0,0
Klebsiella variicola At-22,640131,14,5,0,0,0,2,0,0,0,0,0
Labrenzia aggregata IAM 12614,384765,1,1,0,0,0,0,0,0,0,0,0
Labrenzia alexandrii DFL-11,244592,0,2,0,0,0,0,0,0,0,0,0
Laribacter hongkongensis HLHK9,557598,0,1,0,0,0,0,0,0,0,0,0
Lautropia mirabilis ATCC 51599,887898,0,3,0,0,0,0,0,0,0,0,0
Lawsonia intracellularis PHE/MN1-00,363253,0,0,0,0,0,0,0,0,0,0,0
Legionella drancourtii LLAP12,658187,0,3,0,0,0,0,0,0,0,0,0
Legionella longbeachae D-4968,638315,0,3,1,0,0,0,0,0,0,0,0
Legionella longbeachae NSW150,661367,0,3,1,0,0,0,0,0,0,0,0
Legionella pneumophila 130b,866628,0,2,0,0,0,0,0,0,0,0,0
Legionella pneumophila 2300/99 Alcoy,423212,0,2,0,0,0,0,0,0,0,0,0
Legionella pneumophila str. Corby,400673,0,2,0,0,0,0,0,0,0,0,0
Legionella pneumophila str. Lens,297245,0,2,0,0,0,0,0,0,0,0,0
Legionella pneumophila str. Paris,297246,0,2,0,0,0,0,0,0,0,0,0
Legionella pneumophila subsp. pneumophila ATCC 43290,933093,0,0,0,0,0,0,0,0,0,0,0
Legionella pneumophila subsp. pneumophila str. Hextuple_2q,1081094,0,0,0,0,0,0,0,0,0,0,0
Legionella pneumophila subsp. pneumophila str. Hextuple_3a,1081095,0,0,0,0,0,0,0,0,0,0,0
Legionella pneumophila subsp. pneumophila str. Philadelphia 1,272624,0,2,0,0,0,0,0,0,0,0,0
Leptothrix cholodnii SP-6,395495,1,4,0,0,0,1,0,0,0,0,0
Limnobacter sp. MED105,391597,0,1,0,0,0,2,0,0,0,0,0
Loktanella vestfoldensis SKA53,314232,1,1,0,0,0,0,0,0,0,0,0
Lutiella nitroferrum 2002,279714,0,1,0,0,0,0,0,0,0,0,0
Magnetococcus sp. MC-1,156889,0,1,0,0,0,0,0,0,0,0,0
Magnetospirillum magneticum AMB-1,342108,2,1,0,0,0,0,0,0,0,0,0
Mannheimia haemolytica PHL213,272629,0,1,0,0,0,0,0,0,0,0,0
Mannheimia haemolytica serotype A2 str. BOVINE,669262,0,2,0,0,0,0,0,0,0,0,0
Mannheimia haemolytica serotype A2 str. OVINE,669261,0,1,0,0,0,0,0,0,0,0,0
Mannheimia succiniciproducens MBEL55E,221988,0,1,0,0,0,0,0,0,0,0,0
Maricaulis maris MCS10,394221,0,12,0,0,0,0,0,0,0,0,0
Marichromatium purpuratum 984,765910,0,1,0,0,0,0,0,0,0,0,0
marine bacterium HP15,225937,0,0,0,0,0,0,0,0,0,0,0
marine gamma proteobacterium HTCC2080,247639,0,2,0,0,0,0,0,0,0,0,0
marine gamma proteobacterium HTCC2143,247633,0,3,0,0,0,0,0,0,0,0,0
marine gamma proteobacterium HTCC2148,247634,0,3,0,0,0,0,0,0,0,0,0
Marinobacter algicola DG893,443152,0,0,0,0,0,0,0,0,0,0,0
Marinobacter aquaeolei VT8,351348,0,0,0,0,0,0,0,0,0,0,0
Marinobacter hydrocarbonoclasticus ATCC 49840,1163748,0,0,0,0,0,0,0,0,0,0,0
Marinobacter manganoxydans MnI7-9,1094979,0,0,0,0,0,0,0,0,0,0,0
