	Cohort	Category	Substrate	Antibiotic	Anaerobic_Type	Stress	Gas_Status	Replicate	ModuleName	ModuleNameRep
DN_stresses_xylan_heat_ae_1_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	heat	aerobic	1	heat_xylan	heat_xylan_1
DN_stresses_xylan_heat_ae_3_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	heat	aerobic	2	heat_xylan	heat_xylan_2
DN_stresses_xylan_heat_ae_4_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	heat	aerobic	3	heat_xylan	heat_xylan_3
DN_stresses_xylan_heat_ae_9_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	heat	aerobic	4	heat_xylan	heat_xylan_4
DN_stresses_xylan_heat_ae_13_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	heat	aerobic	5	heat_xylan	heat_xylan_5
DN_stresses_xylan_heat_ae_14_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	heat	aerobic	6	heat_xylan	heat_xylan_6
DN_stresses_xylose_heat_ae_2_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	heat	aerobic	1	heat_xylose	heat_xylose_1
DN_stresses_xylose_heat_ae_4_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	heat	aerobic	2	heat_xylose	heat_xylose_2
DN_stresses_xylose_heat_ae_6_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	heat	aerobic	3	heat_xylose	heat_xylose_3
DN_stresses_xylose_heat_ae_7_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	heat	aerobic	4	heat_xylose	heat_xylose_4
DN_stresses_xylose_heat_ae_8_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	heat	aerobic	5	heat_xylose	heat_xylose_5
DN_anaerobic_glc_posironcitrate_an_1_A	DanFunctionalModules1	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	1	ironcitrate	ironcitrate_1
DN_anaerobic_glcwithironcitrate_NA_an_11_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	6	ironcitrate	ironcitrate_6
DN_anaerobic_glcwithironcitrate_NA_an_12_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	7	ironcitrate	ironcitrate_7
DN_anaerobic_glcwithironcitrate_NA_an_15_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	8	ironcitrate	ironcitrate_8
DN_anaerobic_glc_posironcitrate_an_2_A	DanFunctionalModules1	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	2	ironcitrate	ironcitrate_2
DN_anaerobic_glc_posironcitrate_an_3_A	DanFunctionalModules1	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	3	ironcitrate	ironcitrate_3
DN_anaerobic_glc_posironcitrate_an_4_A	DanFunctionalModules1	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	4	ironcitrate	ironcitrate_4
DN_anaerobic_glc_posironcitrate_an_5_A	DanFunctionalModules1	Anaerobic	glucose	NA	ironcitrate	NA	anaerobic	5	ironcitrate	ironcitrate_5
DN_stresses_nacetylglucosamine_late_ae_1_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	late	aerobic	1	late_n-acetylglucosamine	late_n-acetylglucosamine_1
DN_stresses_nacetylglucosamine_late_ae_2_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	late	aerobic	2	late_n-acetylglucosamine	late_n-acetylglucosamine_2
DN_stresses_nacetylglucosamine_late_ae_3_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	late	aerobic	3	late_n-acetylglucosamine	late_n-acetylglucosamine_3
DN_stresses_nacetylglucosamine_late_ae_4_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	late	aerobic	4	late_n-acetylglucosamine	late_n-acetylglucosamine_4
DN_stresses_nacetylglucosamine_late_ae_5_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	late	aerobic	5	late_n-acetylglucosamine	late_n-acetylglucosamine_5
DN_stresses_nacetylglucosamine_late_ae_6_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	late	aerobic	6	late_n-acetylglucosamine	late_n-acetylglucosamine_6
DN_stresses_xylan_late_ae_1_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	late	aerobic	1	late_xylan	late_xylan_1
DN_stresses_xylan_late_ae_2_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	late	aerobic	2	late_xylan	late_xylan_2
DN_stresses_xylan_late_ae_3_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	late	aerobic	3	late_xylan	late_xylan_3
DN_stresses_xylan_late_ae_4_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	late	aerobic	4	late_xylan	late_xylan_4
DN_stresses_xylan_late_ae_5_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	late	aerobic	5	late_xylan	late_xylan_5
DN_stresses_xylan_late_ae_6_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	late	aerobic	6	late_xylan	late_xylan_6
DN_stresses_xylose_late_ae_1_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	late	aerobic	1	late_xylose	late_xylose_1
DN_stresses_xylose_late_ae_2_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	late	aerobic	2	late_xylose	late_xylose_2
DN_stresses_xylose_late_ae_3_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	late	aerobic	3	late_xylose	late_xylose_3
DN_stresses_xylose_late_ae_4_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	late	aerobic	4	late_xylose	late_xylose_4
DN_stresses_xylose_late_ae_5_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	late	aerobic	5	late_xylose	late_xylose_5
DN_stresses_xylose_late_ae_6_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	late	aerobic	6	late_xylose	late_xylose_6
DN_stresses_nacetylglucosamine_light_ae_1_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	light	aerobic	1	light_n-acetylglucosamine	light_n-acetylglucosamine_1
DN_stresses_nacetylglucosamine_light_ae_4_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	light	aerobic	2	light_n-acetylglucosamine	light_n-acetylglucosamine_2
DN_stresses_nacetylglucosamine_light_ae_5_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	light	aerobic	3	light_n-acetylglucosamine	light_n-acetylglucosamine_3
DN_stresses_nacetylglucosamine_light_ae_6_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	light	aerobic	4	light_n-acetylglucosamine	light_n-acetylglucosamine_4
DN_stresses_nacetylglucosamine_light_ae_8_plate0001	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	light	aerobic	5	light_n-acetylglucosamine	light_n-acetylglucosamine_5
DN_stresses_xylan_light_ae_3_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	light	aerobic	1	light_xylan	light_xylan_1
DN_stresses_xylan_light_ae_4_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	light	aerobic	2	light_xylan	light_xylan_2
DN_stresses_xylan_light_ae_5_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	light	aerobic	3	light_xylan	light_xylan_3
DN_stresses_xylan_light_ae_6_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	light	aerobic	4	light_xylan	light_xylan_4
DN_stresses_xylan_light_ae_7_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	light	aerobic	5	light_xylan	light_xylan_5
DN_stresses_xylan_light_ae_9_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	light	aerobic	6	light_xylan	light_xylan_6
DN_stresses_xylose_light_ae_1_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	light	aerobic	1	light_xylose	light_xylose_1
DN_stresses_xylose_light_ae_2_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	light	aerobic	2	light_xylose	light_xylose_2
DN_stresses_xylose_light_ae_3_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	light	aerobic	3	light_xylose	light_xylose_3
DN_stresses_xylose_light_ae_4_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	light	aerobic	4	light_xylose	light_xylose_4
DN_stresses_xylose_light_ae_5_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	light	aerobic	5	light_xylose	light_xylose_5
DN_organicacids_malate_ae_1_B	DanFunctionalModules1	Simple Substrates	malate	NA	NA	NA	aerobic	1	malate	malate_1
DN_organicacids_malate_ae_2_B	DanFunctionalModules1	Simple Substrates	malate	NA	NA	NA	aerobic	2	malate	malate_2
DN_organicacids_malate_ae_3_B	DanFunctionalModules1	Simple Substrates	malate	NA	NA	NA	aerobic	3	malate	malate_3
DN_organicacids_malate_ae_4_B	DanFunctionalModules1	Simple Substrates	malate	NA	NA	NA	aerobic	4	malate	malate_4
DN_plantsugars_mannose_ae_1_B	DanFunctionalModules1	Simple Substrates	mannose	NA	NA	NA	aerobic	1	mannose	mannose_1
DN_plantsugars_mannose_ae_2_B	DanFunctionalModules1	Simple Substrates	mannose	NA	NA	NA	aerobic	2	mannose	mannose_2
DN_plantsugars_mannose_ae_3_B	DanFunctionalModules1	Simple Substrates	mannose	NA	NA	NA	aerobic	3	mannose	mannose_3
DN_plantsugars_mannose_ae_4_B	DanFunctionalModules1	Simple Substrates	mannose	NA	NA	NA	aerobic	4	mannose	mannose_4
DN_plantsugars_mannose_ae_5_B	DanFunctionalModules1	Simple Substrates	mannose	NA	NA	NA	aerobic	5	mannose	mannose_5
DN_MEOH_10E3_7_23_18_1	DanFunctionalModules1	Simple Substrates	methanol	NA	NA	NA	aerobic	1	methanol	methanol_1
DN_MEOH_10E3_7_23_18_2	DanFunctionalModules1	Simple Substrates	methanol	NA	NA	NA	aerobic	2	methanol	methanol_2
DN_MEOH_10E3_7_23_18_3	DanFunctionalModules1	Simple Substrates	methanol	NA	NA	NA	aerobic	3	methanol	methanol_3
DN_MEOH_10E3_7_23_18_4	DanFunctionalModules1	Simple Substrates	methanol	NA	NA	NA	aerobic	4	methanol	methanol_4
DN_MEOH_10E3_7_23_18_5	DanFunctionalModules1	Simple Substrates	methanol	NA	NA	NA	aerobic	5	methanol	methanol_5
DN_plantsugars_n_acetylglucosamine_ae_4_B	DanFunctionalModules1	Simple Substrates	n-acetylglucosamine	NA	NA	control	aerobic	1	n-acetylglucosamine	n-acetylglucosamine_1
DN_plantsugars_n_acetylglucosamine_ae_5_B	DanFunctionalModules1	Simple Substrates	n-acetylglucosamine	NA	NA	control	aerobic	2	n-acetylglucosamine	n-acetylglucosamine_2
DN_plantsugars_n_acetylglucosamine_ae_7_B	DanFunctionalModules1	Simple Substrates	n-acetylglucosamine	NA	NA	control	aerobic	3	n-acetylglucosamine	n-acetylglucosamine_3
DN_plantsugars_n_acetylglucosamine_ae_8_B	DanFunctionalModules1	Simple Substrates	n-acetylglucosamine	NA	NA	control	aerobic	4	n-acetylglucosamine	n-acetylglucosamine_4
DN_plantsugars_n_acetylglucosamine_ae_9_B	DanFunctionalModules1	Simple Substrates	n-acetylglucosamine	NA	NA	control	aerobic	5	n-acetylglucosamine	n-acetylglucosamine_5
DN_anaerobic_glc_posnon_fs_FeSO4_an_2_A	DanFunctionalModules1	Anaerobic	glucose	NA	nonfsFeSO4	NA	anaerobic	1	nonfsFeSO4	nonfsFeSO4_1
DN_anaerobic_glc_posnon_fs_FeSO4_an_3_A	DanFunctionalModules1	Anaerobic	glucose	NA	nonfsFeSO4	NA	anaerobic	2	nonfsFeSO4	nonfsFeSO4_2
DN_anaerobic_glcwithnonfsFeSO4_NA_an_20_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	nonfsFeSO4	NA	anaerobic	6	nonfsFeSO4	nonfsFeSO4_6
DN_anaerobic_glc_posnon_fs_FeSO4_an_4_A	DanFunctionalModules1	Anaerobic	glucose	NA	nonfsFeSO4	NA	anaerobic	3	nonfsFeSO4	nonfsFeSO4_3
DN_anaerobic_glc_posnon_fs_FeSO4_an_10_A	DanFunctionalModules1	Anaerobic	glucose	NA	nonfsFeSO4	NA	anaerobic	4	nonfsFeSO4	nonfsFeSO4_4
DN_anaerobic_glc_posnon_fs_FeSO4_an_15_A	DanFunctionalModules1	Anaerobic	glucose	NA	nonfsFeSO4	NA	anaerobic	5	nonfsFeSO4	nonfsFeSO4_5
DN_antibiotics_glc_posnystatin_ae_1_B	DanFunctionalModules1	Antibiotics	glucose	nystatin	NA	NA	aerobic	1	nystatin	nystatin_1
DN_antibiotics_glc_posnystatin_ae_2_B	DanFunctionalModules1	Antibiotics	glucose	nystatin	NA	NA	aerobic	2	nystatin	nystatin_2
DN_antibiotics_glc_posnystatin_ae_3_B	DanFunctionalModules1	Antibiotics	glucose	nystatin	NA	NA	aerobic	3	nystatin	nystatin_3
DN_antibiotics_glc_posnystatin_ae_4_B	DanFunctionalModules1	Antibiotics	glucose	nystatin	NA	NA	aerobic	4	nystatin	nystatin_4
DN_antibiotics_glc_posnystatin_ae_5_B	DanFunctionalModules1	Antibiotics	glucose	nystatin	NA	NA	aerobic	5	nystatin	nystatin_5
DN_plantsugars_pectin_ae_1_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	1	pectin	pectin_1
DN_plantsugars_pectin_ae_3_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	2	pectin	pectin_2
DN_plantsugars_pectin_ae_4_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	3	pectin	pectin_3
DN_plantsugars_pectin_ae_5_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	4	pectin	pectin_4
DN_plantsugars_pectin_ae_6_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	5	pectin	pectin_5
DN_plantsugars_pectin_ae_8_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	6	pectin	pectin_6
DN_plantsugars_pectin_ae_10_B	DanFunctionalModules1	Polysaccharides	pectin	NA	NA	NA	aerobic	7	pectin	pectin_7
DN_stresses_nacetylglucosamine_PEG_ae_2_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	PEG	aerobic	1	PEG_n-acetylglucosamine	PEG_n-acetylglucosamine_1
DN_stresses_nacetylglucosamine_PEG_ae_4_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	PEG	aerobic	2	PEG_n-acetylglucosamine	PEG_n-acetylglucosamine_2
DN_stresses_nacetylglucosamine_PEG_ae_5_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	PEG	aerobic	3	PEG_n-acetylglucosamine	PEG_n-acetylglucosamine_3
DN_stresses_nacetylglucosamine_PEG_ae_6_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	PEG	aerobic	4	PEG_n-acetylglucosamine	PEG_n-acetylglucosamine_4
DN_stresses_nacetylglucosamine_PEG_ae_7_plate0002	DanFunctionalModules2	Stresses	n-acetylglucosamine	NA	NA	PEG	aerobic	5	PEG_n-acetylglucosamine	PEG_n-acetylglucosamine_5
DN_stresses_xylan_PEG_ae_1_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	PEG	aerobic	1	PEG_xylan	PEG_xylan_1
DN_stresses_xylan_PEG_ae_3_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	PEG	aerobic	2	PEG_xylan	PEG_xylan_2
DN_stresses_xylan_PEG_ae_7_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	PEG	aerobic	3	PEG_xylan	PEG_xylan_3
DN_stresses_xylan_PEG_ae_9_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	PEG	aerobic	4	PEG_xylan	PEG_xylan_4
DN_stresses_xylan_PEG_ae_10_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	PEG	aerobic	5	PEG_xylan	PEG_xylan_5
DN_stresses_xylan_PEG_ae_12_plate0002	DanFunctionalModules2	Stresses	xylan	NA	NA	PEG	aerobic	6	PEG_xylan	PEG_xylan_6
DN_stresses_xylose_PEG_ae_1_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	PEG	aerobic	1	PEG_xylose	PEG_xylose_1
DN_stresses_xylose_PEG_ae_3_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	PEG	aerobic	2	PEG_xylose	PEG_xylose_2
DN_stresses_xylose_PEG_ae_5_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	PEG	aerobic	3	PEG_xylose	PEG_xylose_3
DN_stresses_xylose_PEG_ae_6_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	PEG	aerobic	4	PEG_xylose	PEG_xylose_4
DN_stresses_xylose_PEG_ae_7_plate0002	DanFunctionalModules2	Stresses	xylose	NA	NA	PEG	aerobic	5	PEG_xylose	PEG_xylose_5
DN_pHtest_glc_pospH6_14_ae_1_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH6	aerobic	1	pH6_glucose	pH6_glucose_1
DN_pHtest_glc_pospH6_14_ae_2_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH6	aerobic	2	pH6_glucose	pH6_glucose_2
DN_pHtest_glc_pospH6_14_ae_3_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH6	aerobic	3	pH6_glucose	pH6_glucose_3
DN_pHtest_glc_pospH6_14_ae_4_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH6	aerobic	4	pH6_glucose	pH6_glucose_4
DN_pHtest_glc_pospH6_14_ae_5_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH6	aerobic	5	pH6_glucose	pH6_glucose_5
DN_pHtest_n_acetylglucosamine_pospH6_14_ae_1_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH6	aerobic	1	pH6_n-acetylglucosamine	pH6_n-acetylglucosamine_1
DN_pHtest_n_acetylglucosamine_pospH6_14_ae_2_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH6	aerobic	2	pH6_n-acetylglucosamine	pH6_n-acetylglucosamine_2
DN_pHtest_n_acetylglucosamine_pospH6_14_ae_3_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH6	aerobic	3	pH6_n-acetylglucosamine	pH6_n-acetylglucosamine_3
DN_pHtest_n_acetylglucosamine_pospH6_14_ae_4_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH6	aerobic	4	pH6_n-acetylglucosamine	pH6_n-acetylglucosamine_4
DN_pHtest_n_acetylglucosamine_pospH6_14_ae_5_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH6	aerobic	5	pH6_n-acetylglucosamine	pH6_n-acetylglucosamine_5
DN_pHtest_glc_pospH8_14_ae_2_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH8	aerobic	1	pH8_glucose	pH8_glucose_1
DN_pHtest_glc_pospH8_14_ae_4_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH8	aerobic	2	pH8_glucose	pH8_glucose_2
DN_pHtest_glc_pospH8_14_ae_5_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH8	aerobic	3	pH8_glucose	pH8_glucose_3
DN_pHtest_glc_pospH8_14_ae_6_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH8	aerobic	4	pH8_glucose	pH8_glucose_4
DN_pHtest_glc_pospH8_14_ae_7_A	DanFunctionalModules1	Stresses	glucose	NA	NA	pH8	aerobic	5	pH8_glucose	pH8_glucose_5
DN_pHtest_n_acetylglucosamine_pospH8_14_ae_1_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH8	aerobic	1	pH8_n-acetylglucosamine	pH8_n-acetylglucosamine_1
DN_pHtest_n_acetylglucosamine_pospH8_14_ae_2_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH8	aerobic	2	pH8_n-acetylglucosamine	pH8_n-acetylglucosamine_2
DN_pHtest_n_acetylglucosamine_pospH8_14_ae_4_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH8	aerobic	3	pH8_n-acetylglucosamine	pH8_n-acetylglucosamine_3
DN_pHtest_n_acetylglucosamine_pospH8_14_ae_5_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH8	aerobic	4	pH8_n-acetylglucosamine	pH8_n-acetylglucosamine_4
DN_pHtest_n_acetylglucosamine_pospH8_14_ae_6_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH8	aerobic	5	pH8_n-acetylglucosamine	pH8_n-acetylglucosamine_5
DN_pHtest_n_acetylglucosamine_pospH8_14_ae_7_B	DanFunctionalModules1	Stresses	n-acetylglucosamine	NA	NA	pH8	aerobic	6	pH8_n-acetylglucosamine	pH8_n-acetylglucosamine_6
DN_stresses_xylan_pH8_ae_2_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	pH8	aerobic	1	pH8_xylan	pH8_xylan_1
DN_stresses_xylan_pH8_ae_5_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	pH8	aerobic	2	pH8_xylan	pH8_xylan_2
DN_stresses_xylan_pH8_ae_6_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	pH8	aerobic	3	pH8_xylan	pH8_xylan_3
DN_stresses_xylan_pH8_ae_7_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	pH8	aerobic	4	pH8_xylan	pH8_xylan_4
DN_stresses_xylan_pH8_ae_8_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	pH8	aerobic	5	pH8_xylan	pH8_xylan_5
DN_stresses_xylan_pH8_ae_9_plate0001	DanFunctionalModules2	Stresses	xylan	NA	NA	pH8	aerobic	6	pH8_xylan	pH8_xylan_6
DN_stresses_xylose_pH8_ae_1_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	pH8	aerobic	1	pH8_xylose	pH8_xylose_1
DN_stresses_xylose_pH8_ae_2_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	pH8	aerobic	2	pH8_xylose	pH8_xylose_2
DN_stresses_xylose_pH8_ae_3_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	pH8	aerobic	3	pH8_xylose	pH8_xylose_3
DN_stresses_xylose_pH8_ae_4_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	pH8	aerobic	4	pH8_xylose	pH8_xylose_4
DN_stresses_xylose_pH8_ae_5_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	pH8	aerobic	5	pH8_xylose	pH8_xylose_5
DN_stresses_xylose_pH8_ae_6_plate0001	DanFunctionalModules2	Stresses	xylose	NA	NA	pH8	aerobic	6	pH8_xylose	pH8_xylose_6
DN_anaerobic_glc_pospotassiumnitrate_an_1_A	DanFunctionalModules1	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	1	potassiumnitrate	potassiumnitrate_1
DN_anaerobic_glc_pospotassiumnitrate_an_2_A	DanFunctionalModules1	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	2	potassiumnitrate	potassiumnitrate_2
DN_anaerobic_glcwithpotassiumnitrate_NA_an_20_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	6	potassiumnitrate	potassiumnitrate_6
DN_anaerobic_glcwithpotassiumnitrate_NA_an_21_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	7	potassiumnitrate	potassiumnitrate_7
DN_anaerobic_glcwithpotassiumnitrate_NA_an_22_plate0002	DanFunctionalModules2	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	8	potassiumnitrate	potassiumnitrate_8
DN_anaerobic_glc_pospotassiumnitrate_an_3_A	DanFunctionalModules1	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	3	potassiumnitrate	potassiumnitrate_3
DN_anaerobic_glc_pospotassiumnitrate_an_4_A	DanFunctionalModules1	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	4	potassiumnitrate	potassiumnitrate_4
DN_anaerobic_glc_pospotassiumnitrate_an_5_A	DanFunctionalModules1	Anaerobic	glucose	NA	potassiumnitrate	NA	anaerobic	5	potassiumnitrate	potassiumnitrate_5
DN_organicacids_propionate_ae_1_B	DanFunctionalModules1	Simple Substrates	propionate	NA	NA	NA	aerobic	1	propionate	propionate_1
DN_organicacids_propionate_ae_2_B	DanFunctionalModules1	Simple Substrates	propionate	NA	NA	NA	aerobic	2	propionate	propionate_2
DN_organicacids_propionate_ae_3_B	DanFunctionalModules1	Simple Substrates	propionate	NA	NA	NA	aerobic	3	propionate	propionate_3
DN_organicacids_propionate_ae_4_B	DanFunctionalModules1	Simple Substrates	propionate	NA	NA	NA	aerobic	4	propionate	propionate_4
DN_organicacids_propionate_ae_5_B	DanFunctionalModules1	Simple Substrates	propionate	NA	NA	NA	aerobic	5	propionate	propionate_5
DN_PYR_10E3_7_17_18_1	DanFunctionalModules1	Simple Substrates	pyruvate	NA	NA	NA	aerobic	1	pyruvate	pyruvate_1
DN_PYR_10E3_7_17_18_2	DanFunctionalModules1	Simple Substrates	pyruvate	NA	NA	NA	aerobic	2	pyruvate	pyruvate_2
DN_PYR_10E3_7_17_18_3	DanFunctionalModules1	Simple Substrates	pyruvate	NA	NA	NA	aerobic	3	pyruvate	pyruvate_3
DN_PYR_10E3_7_17_18_4	DanFunctionalModules1	Simple Substrates	pyruvate	NA	NA	NA	aerobic	4	pyruvate	pyruvate_4
DN_PYR_10E3_7_17_18_5	DanFunctionalModules1	Simple Substrates	pyruvate	NA	NA	NA	aerobic	5	pyruvate	pyruvate_5
DN_plantsugars_rhamnose_ae_1_B	DanFunctionalModules1	Simple Substrates	rhamnose	NA	NA	NA	aerobic	1	rhamnose	rhamnose_1
DN_plantsugars_rhamnose_ae_2_B	DanFunctionalModules1	Simple Substrates	rhamnose	NA	NA	NA	aerobic	2	rhamnose	rhamnose_2
DN_plantsugars_rhamnose_ae_3_B	DanFunctionalModules1	Simple Substrates	rhamnose	NA	NA	NA	aerobic	3	rhamnose	rhamnose_3
DN_plantsugars_rhamnose_ae_5_B	DanFunctionalModules1	Simple Substrates	rhamnose	NA	NA	NA	aerobic	4	rhamnose	rhamnose_4
DN_plantsugars_rhamnose_ae_8_B	DanFunctionalModules1	Simple Substrates	rhamnose	NA	NA	NA	aerobic	5	rhamnose	rhamnose_5
DN_plantsugars_rhamnose_ae_10_B	DanFunctionalModules1	Simple Substrates	rhamnose	NA	NA	NA	aerobic	6	rhamnose	rhamnose_6
DN_salttest_glc_possalt_ae_1_B	DanFunctionalModules1	Stresses	glucose	NA	NA	salt	aerobic	1	salt_glucose	salt_glucose_1
DN_salttest_glc_possalt_ae_2_B	DanFunctionalModules1	Stresses	glucose	NA	NA	salt	aerobic	2	salt_glucose	salt_glucose_2
DN_salttest_glc_possalt_ae_3_B	DanFunctionalModules1	Stresses	glucose	NA	NA	salt	aerobic	3	salt_glucose	salt_glucose_3
DN_salttest_glc_possalt_ae_4_B	DanFunctionalModules1	Stresses	glucose	NA	NA	salt	aerobic	4	salt_glucose	salt_glucose_4
DN_salttest_glc_possalt_ae_5_B	DanFunctionalModules1	Stresses	glucose	NA	NA	salt	aerobic	5	salt_glucose	salt_glucose_5
